Time	Water column behaviour	Prey present	Prey abundance	Foraging behavior	Cons/Hetero	Cons/Hetero abundance	Direction	Comments
17.77	Flapping (F)							
17.80	Flapping (F)							
17.83	Flapping (F)							
17.87	Flapping (F)							
17.90	Flapping (F)							
17.93	Flapping (F)							
17.97	Flapping (F)							
18.00	Flapping (F)							
18.03	Flapping (F)							
18.07	Flapping (F)							
18.10	Flapping (F)							
18.13	Flapping (F)							
18.17	Flapping (F)							
18.20	Flapping (F)							
18.23	Flapping (F)							
18.27	Gliding (G)							
18.30	Gliding (G)							
18.33	Gliding (G)							
18.37	Gliding (G)							
18.40	Gliding (G)							
18.43	Gliding (G)							
18.47	Gliding (G)							
18.50	Gliding (G)							
18.53	Gliding (G)							
18.57	Gliding (G)							
18.60	Gliding (G)							
18.63	Gliding (G)							
18.67	Gliding (G)							
18.70	Gliding (G)							
18.73	Gliding (G)							
18.77	Gliding (G)							
18.80	Gliding (G)							
18.83	Gliding (G)							
18.87	Gliding (G)							
18.90	Gliding (G)							
18.93	Gliding (G)							
18.97	Gliding (G)							
19.00	Gliding (G)							
19.03	Gliding (G)							
19.07	Gliding (G)							
19.10	Gliding (G)							
19.13	Gliding (G)							
19.17	Gliding (G)							
19.20	Gliding (G)							
19.23	Gliding (G)							
19.27	Gliding (G)							
19.30	Gliding (G)							
19.33	Gliding (G)							
19.37	Gliding (G)							
19.40	Gliding (G)							
19.43	Gliding (G)							
19.47	Gliding (G)							
19.50	Gliding (G)							
19.53	Gliding (G)							
19.57	Gliding (G)							
19.60	Gliding (G)							
19.63	Gliding (G)							
19.67	Gliding (G)							
19.70	Gliding (G)							
19.73	Gliding (G)							
19.77	Gliding (G)							
19.80	Gliding (G)							
19.83	Gliding (G)							
19.87	Gliding (G)							
19.90	Gliding (G)							
19.93	Gliding (G)							
19.97	Gliding (G)							
20.00	Gliding (G)							
20.03	Gliding (G)							
20.07	Gliding (G)							
20.10	Gliding (G)							
20.13	Gliding (G)							
20.17	Gliding (G)							
20.20	Gliding (G)							
20.23	Gliding (G)							
20.27	Flapping (F)							
20.30	Flapping (F)							
20.33	Flapping (F)							
20.37	Flapping (F)							
20.40	Flapping (F)							
20.43	Flapping (F)							
20.47	Flapping (F)							
20.50	Flapping (F)							
20.53	Flapping (F)							
20.57	Flapping (F)							
20.60	Flapping (F)							
20.63	Flapping (F)							
20.67	Flapping (F)							
20.70	Flapping (F)							
20.73	Flapping (F)							
20.77	Flapping (F)							
20.80	Flapping (F)							
20.83	Flapping (F)							
20.87	Flapping (F)							
20.90	Flapping (F)							
20.93	Flapping (F)							
20.97	Flapping (F)							
21.00	Flapping (F)							
21.03	Flapping (F)							
21.07	Flapping (F)							
21.10	Flapping (F)							
21.13	Flapping (F)							
21.17	Flapping (F)							
21.20	Flapping (F)							
21.23	Flapping (F)							
21.27	Flapping (F)							
21.30	Flapping (F)							
21.33	Flapping (F)							
21.37	Flapping (F)							
21.40	Flapping (F)							
21.43	Flapping (F)							
21.47	Flapping (F)							
21.50	Flapping (F)							
21.53	Flapping (F)							
21.57	Flapping (F)							
21.60	Flapping (F)							
21.63	Flapping (F)							
21.67	Flapping (F)							
21.70	Flapping (F)							
21.73	Flapping (F)							
21.77	Flapping (F)							
21.80	Flapping (F)							
21.83	Flapping (F)							
21.87	Flapping (F)							
21.90	Flapping (F)							
21.93	Flapping (F)							
21.97	Flapping (F)							
22.00	Flapping (F)							
22.03	Flapping (F)							
22.07	Flapping (F)							
22.10	Flapping (F)							
22.13	Flapping (F)							
22.17	Flapping (F)							
22.20	Flapping (F)							
22.23	Flapping (F)							
22.27	Flapping (F)							
22.30	Flapping (F)							
22.33	Flapping (F)							
22.37	Flapping (F)							
22.40	Flapping (F)							
22.43	Flapping (F)							
22.47	Flapping (F)							
22.50	Flapping (F)							
22.53	Flapping (F)							
22.57	Flapping (F)							
22.60	Flapping (F)							
22.63	Flapping (F)							
22.67	Flapping (F)							
22.70	Flapping (F)							
22.73	Flapping (F)							
22.77	Flapping (F)							
22.80	Flapping (F)							
22.83	Flapping (F)							
22.87	Flapping (F)							
22.90	Flapping (F)							
22.93	Flapping (F)							
22.97	Flapping (F)							
23.00	Flapping (F)							
23.03	Flapping (F)							
23.07	Flapping (F)							
23.10	Flapping (F)							
23.13	Flapping (F)							
23.17	Flapping (F)							
23.20	Flapping (F)							
23.23	Flapping (F)							
23.27	Flapping (F)							
23.30	Flapping (F)							
23.33	Flapping (F)							
23.37	Flapping (F)							
23.40	Flapping (F)							
23.43	Flapping (F)							
23.47	Flapping (F)							
23.50	Flapping (F)							
23.53	Flapping (F)							
23.57	Flapping (F)							
23.60	Flapping (F)							
23.63	Flapping (F)							
23.67	Flapping (F)							
23.70	Flapping (F)							
23.73	Flapping (F)							
23.77	Flapping (F)							
23.80	Flapping (F)							
23.83	Flapping (F)							
23.87	Flapping (F)							
23.90	Flapping (F)							
23.93	Flapping (F)							
23.97	Flapping (F)							
24.00	Flapping (F)							
24.03	Flapping (F)							
24.07	Flapping (F)							
24.10	Flapping (F)							
24.13	Flapping (F)							
24.17	Flapping (F)							
24.20	Flapping (F)							
24.23	Flapping (F)							
24.27	Flapping (F)							
24.30	Flapping (F)							
24.33	Flapping (F)							
24.37	Flapping (F)							
24.40	Flapping (F)							
24.43	Flapping (F)							
24.47	Flapping (F)							
24.50	Flapping (F)							
24.53	Flapping (F)							
24.57	Flapping (F)							
24.60	Flapping (F)							
24.63	Flapping (F)							
24.67	Flapping (F)							
24.70	Flapping (F)							
24.73	Flapping (F)							
24.77	Flapping (F)							
24.80	Flapping (F)							
24.83	Flapping (F)							
24.87	Flapping (F)							
24.90	Flapping (F)							
24.93	Flapping (F)							
24.97	Flapping (F)							
25.00	Flapping (F)							
25.03	Flapping (F)							
25.07	Flapping (F)							
25.10	Flapping (F)							
25.13	Flapping (F)							
25.17	Flapping (F)							
25.20	Flapping (F)							
25.23	Flapping (F)							
25.27	Flapping (F)							
25.30	Flapping (F)							
25.33	Flapping (F)							
25.37	Flapping (F)							
25.40	Flapping (F)							
25.43	Flapping (F)							
25.47	Flapping (F)							
25.50	Flapping (F)							
25.53	Flapping (F)							
25.57	Flapping (F)							
25.60	Flapping (F)							
25.63	Flapping (F)							
25.67	Flapping (F)							
25.70	Flapping (F)							
25.73	Flapping (F)							
25.77	Flapping (F)							
25.80	Flapping (F)							
25.83	Flapping (F)							
25.87	Flapping (F)							
25.90	Flapping (F)							
25.93	Flapping (F)							
25.97	Flapping (F)							
26.00	Flapping (F)							
26.03	Flapping (F)							
26.07	Flapping (F)							
26.10	Flapping (F)							
26.13	Flapping (F)							
26.17	Flapping (F)							
26.20	Flapping (F)							
26.23	Flapping (F)							
26.27	Flapping (F)							
26.30	Flapping (F)							
26.33	Flapping (F)							
26.37	Flapping (F)							
26.40	Flapping (F)							
26.43	Flapping (F)							
26.47	Flapping (F)							
26.50	Flapping (F)							
26.53	Flapping (F)							
26.57	Flapping (F)							
26.60	Flapping (F)							
26.63	Flapping (F)							
26.67	Flapping (F)							
26.70	Flapping (F)							
26.73	Flapping (F)							
26.77	Flapping (F)							
26.80	Flapping (F)							
26.83	Flapping (F)							
26.87	Flapping (F)							
26.90	Flapping (F)							
26.93	Flapping (F)							
26.97	Flapping (F)							
27.00	Flapping (F)							
27.03	Flapping (F)							
27.07	Flapping (F)							
27.10	Flapping (F)							
27.13	Flapping (F)							
27.17	Flapping (F)							
27.20	Flapping (F)							
27.23	Flapping (F)							
27.27	Flapping (F)							
27.30	Flapping (F)							
27.33	Flapping (F)							
27.37	Flapping (F)							
27.40	Flapping (F)							
27.43	Flapping (F)							
27.47	Flapping (F)							
27.50	Flapping (F)							
27.53	Flapping (F)							
27.57	Flapping (F)							
27.60	Flapping (F)							
27.63	Flapping (F)							
27.67	Flapping (F)							
27.70	Flapping (F)							
27.73	Flapping (F)							
27.77	Flapping (F)							
27.80	Flapping (F)							
27.83	Flapping (F)							
27.87	Flapping (F)							
27.90	Flapping (F)							
27.93	Flapping (F)							
